71.12,18.27,11.9,15.76,10,191.52
109.22,17.5,13.22,12.5,16,324.61
85.34,13.75,10.86,7.76,21,339.6
14.99,8.38,8.36,18.94,11,50.55
70.1,6.47,10.85,20.0,11,171.45
19.3,1.24,13.01,22.06,9,96.27
90.93,-2.5,11.22,14.5,18,192.53
30.48,-0.43,12.01,17.32,13,129.54
52.07,4.87,12.73,12.15,24,237.74
64.01,7.81,11.2,15.51,19,327.15
89.92,11.83,12.08,12.89,16,361.7
103.89,15.53,11.88,8.3,20,457.96
213.11,18.29,13.23,15.43,14,950.47
87.88,17.16,7.47,16.42,9,173.48
40.89,13.91,8.62,15.13,15,171.96
16,8.43,9.93,24.08,5,28.45
11.94,4.43,10.5,23.64,9,49.02
22.1,0.44,13.15,19.75,10,55.88
26.92,-2.53,11.95,19.83,14,75.18
25.91,-1.56,11.68,19.75,12,81.79
39.88,1.77,11.07,9.22,24,298.7
39.88,8.98,12.82,16.33,17,153.42
59.94,11.81,12.17,15.27,17,196.6
107.95,14.49,10.86,13.71,18,440.44
115.06,17.37,13.64,22.66,15,404.88
109.98,17.31,10.45,13.24,20,466.85
196.09,14.07,13.72,9.21,25,591.31
7.11,7.22,11.47,21.82,3,16.26
14.99,4.36,12.23,25.15,5,34.29
20.07,1.8,15.34,18.75,14,88.65
26.92,-3.94,13.59,18.01,12,134.87
32,1.03,12.76,18.43,14,126.49
39.12,3.11,12.58,15.56,17,200.66
19.05,7.95,9.64,15.5,17,132.08
39.12,11.44,12.1,11.12,23,252.48
91.95,15.2,11.21,11.27,21,461.52
103.12,16.86,15.5,9.88,18,306.07
40.89,16.77,13.07,9.64,21,267.72
28.96,14.09,9.38,19.09,14,129.03
27.94,8.45,9.51,19.7,9,77.22
39.12,6.66,11.13,18.17,13,178.31
12.95,-0.82,13.37,21.61,9,35.31
16,-1.31,12.48,18.56,10,58.42
19.05,-1.15,12.0,16.25,16,117.86
36.07,1.25,11.43,15.42,17,112.52
116.08,9.82,10.53,11.17,20,312.67
41.91,13.52,10.68,19.1,16,203.45
144.02,15.24,11.97,10.83,20,599.69
40.89,19.03,8.42,18.38,16,166.62
45.97,17.8,11.54,14.73,14,205.74
60.96,12.43,9.92,15.51,13,204.98
20.07,8.31,10.29,16.38,16,93.47
13.97,7.54,9.58,17.35,10,45.72
26.92,1.76,9.29,13.39,21,100.58
33.02,-3.46,11.26,17.25,17,138.94
14.99,-2.91,10.16,18.75,12,55.37
23.88,1.84,10.57,17.82,15,139.7
65.02,7.65,11.0,10.54,24,275.08
97.03,11.94,12.91,15.69,17,398.02
216.92,14.71,10.84,11.18,22,737.36
85.09,17.66,10.69,12.17,14,334.77
43.94,17.09,10.67,12.49,17,162.56
14.99,14.36,9.01,18.3,8,30.73
67.06,10.49,9.19,17.04,13,154.94
3.05,3.64,11.43,24.48,1,3.05
8.89,-1.41,10.99,23.08,4,17.02
14.99,-1.89,9.8,17.09,17,86.11
12.95,-2.89,11.81,19.46,6,29.21
53.09,2.37,12.33,10.46,23,310.9
46.99,5.3,11.34,16.09,15,101.09
35.05,11.71,9.48,17.16,15,79.76
223.01,15.97,13.65,5.39,22,1124.71
177.04,17.38,12.46,10.8,19,701.55
72.9,17.47,8.33,10.69,18,240.03
29.97,14.54,8.43,16.77,12,81.53
33.02,9.55,10.56,16.38,13,103.89
18.03,4.79,10.8,17.43,11,67.56
9.91,0.61,10.66,25.14,5,24.13
13.97,-1.44,11.95,21.65,11,49.02
12.95,-0.56,10.24,15.68,16,63.5
12.95,4.51,10.52,10.49,19,76.71
39.88,7.75,10.02,16.4,19,133.1
56.9,13.19,12.01,17.35,16,242.32
86.11,15.38,8.48,16.13,17,326.14
114.05,16.84,10.41,9.41,24,398.02
162.05,17.12,10.22,7.93,24,602.23
25.91,11.9,7.34,14.48,15,132.33
22.1,9.84,7.07,21.79,8,58.42
46.99,5.56,11.01,17.09,15,223.27
41.91,0.03,11.35,11.12,23,204.22
45.97,-2.84,11.07,14.74,19,213.87
